,dataset_size,nmad,sigma_3,sigma_5,mean_res,max_res
0,836.0,0.17214212790384523,27.967479674796746,17.88617886178862,0.014783406222124061,0.038953006035391646
0,743.0,0.16287767686702548,24.635332252836303,17.828200972447323,0.01505867126514352,0.029787352850712538
0,650.0,0.16846457482855798,27.876823338735818,20.097244732576986,0.025049718363323592,0.05428034102698805
0,557.0,0.17371060085117754,26.418152350081037,19.448946515397083,0.022204793830274894,0.04991236954054955
0,464.0,0.14746761510071785,27.39059967585089,18.80064829821718,0.009955667679872082,0.025926050612238145
0,371.0,0.18737162790826117,31.60453808752026,20.583468395461914,0.019228790130087294,0.046025157899929156
0,278.0,0.1858195948357928,29.17341977309562,22.20421393841167,0.02036569478219971,0.050542778038405484
0,185.0,0.17443551075108787,31.54471544715447,21.30081300813008,0.030783836411838975,0.06584656317278186
0,92.0,0.224045006149552,28.40909090909091,20.29220779220779,0.021380684234974405,0.04786153061794057
0,60.0,0.23908004016054163,49.10858995137764,37.763371150729334,0.02881142120351256,0.08481491391552415
0,40.0,0.17903382520375655,47.487844408427875,35.980551053484604,0.03805908087054619,0.09262963131928395
0,20.0,0.28020349418096896,62.72285251215559,54.78119935170178,0.07247942531132648,0.21748231435231818
0,1859.0,0.15660718910515736,29.17341977309562,18.962722852512158,0.013436335818956906,0.029979960743336774
0,1766.0,0.1711332652226592,32.739059967585085,23.3387358184765,0.020882092055886647,0.048400062576600754
0,1673.0,0.15550433100024322,26.742301458670987,19.124797406807133,0.013499816154065376,0.03552921482269094
0,1580.0,0.1550480738600886,29.01134521880065,20.097244732576986,0.02003494928906498,0.04987681009478291
0,1487.0,0.162734411936446,29.497568881685577,19.124797406807133,0.016383009362501925,0.03956528394100781
0,1394.0,0.16725998292360109,29.983792544570502,20.583468395461914,0.013945583598920458,0.03319077878204134
0,1301.0,0.17169190738354256,31.280388978930308,21.39384116693679,0.016408354443699112,0.037010278210567175
0,1208.0,0.15262109794053597,29.65964343598055,20.583468395461914,0.019965675971838594,0.051955596666069324
0,1115.0,0.16118768837670167,28.84927066450567,20.74554294975689,0.012891897841162106,0.031991380099252224
0,1022.0,0.16517124235411543,35.81847649918963,25.93192868719611,0.01657119087166869,0.04531598216794865
0,929.0,0.17616714266166994,32.739059967585085,22.20421393841167,0.02130032788947556,0.056248805108496065
0,836.0,0.17214212790384523,27.967479674796746,17.88617886178862,0.014783406222124061,0.038953006035391646
0,743.0,0.16287767686702548,24.635332252836303,17.828200972447323,0.01505867126514352,0.029787352850712538
0,650.0,0.16846457482855798,27.876823338735818,20.097244732576986,0.025049718363323592,0.05428034102698805
0,557.0,0.17371060085117754,26.418152350081037,19.448946515397083,0.022204793830274894,0.04991236954054955
0,464.0,0.14746761510071785,27.39059967585089,18.80064829821718,0.009955667679872082,0.025926050612238145
0,371.0,0.18737162790826117,31.60453808752026,20.583468395461914,0.019228790130087294,0.046025157899929156
0,278.0,0.1858195948357928,29.17341977309562,22.20421393841167,0.02036569478219971,0.050542778038405484
0,185.0,0.17443551075108787,31.54471544715447,21.30081300813008,0.030783836411838975,0.06584656317278186
0,92.0,0.224045006149552,28.40909090909091,20.29220779220779,0.021380684234974405,0.04786153061794057
0,60.0,0.23908004016054163,49.10858995137764,37.763371150729334,0.02881142120351256,0.08481491391552415
0,40.0,0.17903382520375655,47.487844408427875,35.980551053484604,0.03805908087054619,0.09262963131928395
0,20.0,0.28020349418096896,62.72285251215559,54.78119935170178,0.07247942531132648,0.21748231435231818
0,1859.0,0.15660718910515736,29.17341977309562,18.962722852512158,0.013436335818956906,0.029979960743336774
0,1766.0,0.1711332652226592,32.739059967585085,23.3387358184765,0.020882092055886647,0.048400062576600754
0,1673.0,0.15550433100024322,26.742301458670987,19.124797406807133,0.013499816154065376,0.03552921482269094
0,1580.0,0.1550480738600886,29.01134521880065,20.097244732576986,0.02003494928906498,0.04987681009478291
0,1487.0,0.162734411936446,29.497568881685577,19.124797406807133,0.016383009362501925,0.03956528394100781
0,1394.0,0.16725998292360109,29.983792544570502,20.583468395461914,0.013945583598920458,0.03319077878204134
0,1301.0,0.17169190738354256,31.280388978930308,21.39384116693679,0.016408354443699112,0.037010278210567175
0,1208.0,0.15262109794053597,29.65964343598055,20.583468395461914,0.019965675971838594,0.051955596666069324
0,1115.0,0.16118768837670167,28.84927066450567,20.74554294975689,0.012891897841162106,0.031991380099252224
0,1022.0,0.16517124235411543,35.81847649918963,25.93192868719611,0.01657119087166869,0.04531598216794865
0,929.0,0.17616714266166994,32.739059967585085,22.20421393841167,0.02130032788947556,0.056248805108496065
0,836.0,0.17214212790384523,27.967479674796746,17.88617886178862,0.014783406222124061,0.038953006035391646
0,743.0,0.16287767686702548,24.635332252836303,17.828200972447323,0.01505867126514352,0.029787352850712538
0,650.0,0.16846457482855798,27.876823338735818,20.097244732576986,0.025049718363323592,0.05428034102698805
0,557.0,0.17371060085117754,26.418152350081037,19.448946515397083,0.022204793830274894,0.04991236954054955
0,464.0,0.14746761510071785,27.39059967585089,18.80064829821718,0.009955667679872082,0.025926050612238145
0,371.0,0.18737162790826117,31.60453808752026,20.583468395461914,0.019228790130087294,0.046025157899929156
0,278.0,0.1858195948357928,29.17341977309562,22.20421393841167,0.02036569478219971,0.050542778038405484
0,185.0,0.17443551075108787,31.54471544715447,21.30081300813008,0.030783836411838975,0.06584656317278186
0,92.0,0.224045006149552,28.40909090909091,20.29220779220779,0.021380684234974405,0.04786153061794057
0,60.0,0.23908004016054163,49.10858995137764,37.763371150729334,0.02881142120351256,0.08481491391552415
0,40.0,0.17903382520375655,47.487844408427875,35.980551053484604,0.03805908087054619,0.09262963131928395
0,20.0,0.28020349418096896,62.72285251215559,54.78119935170178,0.07247942531132648,0.21748231435231818
0,1859.0,0.15660718910515736,29.17341977309562,18.962722852512158,0.013436335818956906,0.029979960743336774
0,1766.0,0.1711332652226592,32.739059967585085,23.3387358184765,0.020882092055886647,0.048400062576600754
0,1673.0,0.15550433100024322,26.742301458670987,19.124797406807133,0.013499816154065376,0.03552921482269094
0,1580.0,0.1550480738600886,29.01134521880065,20.097244732576986,0.02003494928906498,0.04987681009478291
0,1487.0,0.162734411936446,29.497568881685577,19.124797406807133,0.016383009362501925,0.03956528394100781
0,1394.0,0.16725998292360109,29.983792544570502,20.583468395461914,0.013945583598920458,0.03319077878204134
0,1301.0,0.17169190738354256,31.280388978930308,21.39384116693679,0.016408354443699112,0.037010278210567175
0,1208.0,0.15262109794053597,29.65964343598055,20.583468395461914,0.019965675971838594,0.051955596666069324
0,1115.0,0.16118768837670167,28.84927066450567,20.74554294975689,0.012891897841162106,0.031991380099252224
0,1022.0,0.16517124235411543,35.81847649918963,25.93192868719611,0.01657119087166869,0.04531598216794865
0,929.0,0.17616714266166994,32.739059967585085,22.20421393841167,0.02130032788947556,0.056248805108496065
0,836.0,0.17214212790384523,27.967479674796746,17.88617886178862,0.014783406222124061,0.038953006035391646
